Latitude,Longitude,Distance_from_center,IncGeo_BoroughName_encoded,Cluster
51.51637445,-0.0694903,3718.6185714513485,29,0
51.66678845,-0.102870112,17717.657406287115,9,1
51.61479561,-0.446831511,25507.248115372284,16,2
51.46184232,-0.221885924,8663.491075784037,31,4
51.5477319,0.006607448,9919.901587594773,24,3
51.40087925,-0.285740447,16503.063941126245,20,1
51.53041209,0.061526888,12934.378007557192,24,3
51.59555117,0.035496557,14604.58589533836,25,1
51.52541358,-0.283027781,11389.499000586005,8,3
51.5161765,-0.148108573,2072.8260448924234,32,0
51.51102631,-0.099361387,1563.1742745032088,6,0
51.51484059,-0.129656793,961.7675656408102,5,0
51.53340238,0.039658942,11525.957741199529,24,3
51.41477843,-0.282430781,15253.8371815585,20,1
51.49031651,-0.016356388,7547.021895154975,29,4
51.44709872,-0.214485724,9362.728899843622,31,3
51.61630896,-0.178601364,12692.99562167389,1,3
51.39578069,0.112955222,20513.332332159564,4,2
51.41972636,0.105098285,18542.195580074127,2,1
51.58299574,-0.084538567,8731.401287087569,13,3
51.53041209,0.061526888,12934.378007557192,24,3
51.57557683,0.099375561,17059.079976185727,25,1
51.45559962,-0.445778065,23273.898655073823,16,2
51.53386956,0.052051167,12373.365487770066,24,3
51.50455739,-0.09141722,2110.013667483045,27,0
51.50785952,-0.022611983,6852.559048059683,29,4
51.5100414,-0.129276988,599.6503892445072,32,0
51.548768,-0.482051442,25436.838955292093,16,2
51.55502811,-0.193312028,7238.0747254629105,5,4
51.5484551,-0.37482892,18157.230403934922,8,1
51.54489483,-0.102262057,4319.372829284144,18,4
51.54982087,-0.220937611,8335.437043298152,3,4
51.52571203,-0.281301052,11277.181684665899,8,3
51.52186171,-0.13460164,1802.8078025082934,5,0
51.61064518,-0.261745516,15011.323487418615,1,1
51.51303471,-0.147328091,1891.9257163921666,32,0
51.57102692,0.099353587,16841.234361808984,25,1
51.60679424,-0.000741165,13815.626211168736,30,1
51.50125742,-0.160096429,2791.8332030491497,19,0
51.56393451,-0.192973585,7969.515109045072,1,4
51.57054797,-0.039244234,8996.769389827321,30,3
51.47627226,-0.023432117,7656.048287649969,22,4
51.43668775,-0.111901471,7951.904840678673,21,4
51.45606483,-0.338097223,16122.989033397356,17,1
51.44158998,-0.148608488,7619.033675229935,31,4
51.49009538,-0.323132765,14150.663357332594,17,1
51.54251919,0.006954988,9697.613707749573,24,3
51.51946962,-0.052739477,4930.568019635477,29,4
51.56589724,-0.229097085,9872.661058593312,3,3
51.40087925,-0.285740447,16503.063941126245,20,1
51.55322653,-0.165298226,5890.201795222828,5,4
51.56331952,0.222463311,24634.435728718046,15,2
51.51381408,-0.118327418,686.767391319924,32,0
51.58526004,-0.12110772,8602.018853369551,13,4
51.55900387,-0.399742363,20133.23800047245,16,2
51.55430996,-0.336999821,15827.596722870501,8,1
51.33621162,-0.16919495,19389.24199489587,28,2
51.48460867,-0.203385778,6260.344397755136,12,4
51.54985041,0.203272288,23000.87373820369,15,2
51.5653251,-0.361270816,17827.40892597448,14,1
51.51259942,-0.137444678,1233.3695609671388,32,0
51.42586596,-0.338546038,17637.591745861853,26,1
51.51627434,-0.384132157,18264.25705825502,8,1
51.39667335,0.116806007,20666.68381767224,4,2
51.54583604,-0.030642897,7574.571062987316,11,4
51.5546579,-0.058175849,6798.299175324495,11,4
51.52379009,-0.143921758,2360.336171821771,32,0
51.49867114,-0.466068549,23954.271323993686,16,2
51.42888157,-0.334969863,17251.690274125616,26,1
51.38802508,-0.185179831,14056.843966949502,23,1
51.5117207,-0.096709514,1760.0756612390855,6,0
51.55202509,-0.113908805,4931.87761333051,18,4
51.59293905,0.036260477,14452.53555418372,25,1
51.49981358,-0.21919833,6854.035239462444,12,4
51.40604811,0.015580955,14797.64904676582,4,1
51.4207614,-0.124207908,9698.559592373998,21,3
51.58112176,-0.099238441,8284.619647645382,13,4
51.41252243,-0.301008694,16386.496564572033,20,1
