IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls,Year,Month,DayOfWeek,DayOfYear,Quarter,WeekOfYear,IsWeekend,IsNight,IsRushHour,IsPeakSeason,Distance_from_center,HasSecondPump,IncidentGroup_encoded,PropertyCategory_encoded,PropertyType_encoded,IncGeo_BoroughName_encoded,IncGeo_WardName_encoded,IncidentStationGround_encoded,FirstPumpArriving_DeployedFromStation_encoded,SpecialServiceType_encoded,Postcode_district_encoded
001098-03012018,2018-01-03,2018.0,10:00:43,10.0,False Alarm,AFA,Standard,Non Residential,Other education establishment,Correct incident location,SM4 6HJ,SM4,48108219.0,22104695.0,E09000024,MERTON,Merton,E05013822,Ravensbury,Ravensbury,526374.0,167005.0,526350.0,167050.0,51.38802508,-0.185179831,London,Mitcham,161.0,Mitcham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,14086.68190773907,0,0,3,110,23,485,58,58,18,180
001100-03012018,2018-01-03,2018.0,10:09:58,10.0,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,Unknown,SE21,0.0,21901178.0,E09000022,LAMBETH,Lambeth,E05014119,West Dulwich,West Dulwich,,,532550.0,172550.0,,,London,West Norwood,256.0,West Norwood,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,0,2,2,33,21,655,96,97,3,162
001102-03012018,2018-01-03,2018.0,10:28:44,10.0,False Alarm,AFA,Standard,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,SE6,0.0,22001700.0,E09000023,LEWISHAM,Lewisham,E05013714,Bellingham,Bellingham,,,537250.0,171450.0,,,London,Beckenham,330.0,Beckenham,336.0,Forest Hill,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,149,22,42,5,5,18,173
001103-03012018,2018-01-03,2018.0,10:35:02,10.0,False Alarm,AFA,Standard,Dwelling,House - single occupancy ,Correct incident location,Unknown,SW16,0.0,21900612.0,E09000022,LAMBETH,Lambeth,E05014112,Streatham Common & Vale,Streatham Common & Vale,,,530350.0,170250.0,,,London,Norbury,197.0,Norbury,207.0,Norbury,1.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,67,21,581,61,61,18,190
001106-03012018,2018-01-03,2018.0,10:40:27,10.0,False Alarm,False alarm - Good intent,Standard,Non Residential,Purpose built office ,Correct incident location,EC4V 4HN,EC4V,95505977.0,8100442.0,E09000001,CITY OF LONDON,City Of london,E05009311,VINTRY,VINTRY,532172.0,180916.0,532150.0,180950.0,51.5117207,-0.096709514,London,Dowgate,224.0,Dowgate,343.0,Whitechapel,4.0,4.0,4.0,119.0,651.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,1638.2059081694122,1,0,3,150,6,624,19,19,18,65
001108-03012018,2018-01-03,2018.0,10:47:11,10.0,False Alarm,AFA,Standard,Non Residential,Gym ,Correct incident location,N7 8GA,N7,10090266052.0,21603388.0,E09000019,ISLINGTON,Islington,E05013706,Holloway,Holloway,530863.0,185367.0,530850.0,185350.0,51.55202509,-0.113908805,London,Holloway,274.0,Holloway,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,4932.222088776197,0,0,3,59,18,316,42,42,18,122
001109-03012018,2018-01-03,2018.0,10:48:15,10.0,False Alarm,AFA,Standard,Dwelling,Self contained Sheltered Housing ,Within same building,Unknown,HA3,0.0,21201479.0,E09000015,HARROW,Harrow,E05013548,Harrow Weald,Harrow Weald,,,515850.0,190850.0,,,London,Stanmore,279.0,Stanmore,408.0,Harrow,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,167,14,283,82,82,18,77
001110-03012018,2018-01-03,2018.0,10:53:11,10.0,Fire,Primary Fire,Standard,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,Unknown,SM1,0.0,22602720.0,E09000029,SUTTON,Sutton,E05013765,Sutton Central,Sutton Central,,,526550.0,164150.0,,,London,Sutton,308.0,Sutton,330.0,Sutton,1.0,2.0,2.0,64.0,350.0,2.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,1,2,33,28,590,86,86,18,177
001111-03012018,2018-01-03,2018.0,10:53:14,10.0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,Unknown,N4,0.0,21607134.0,E09000019,ISLINGTON,Islington,E05013697,Arsenal,Arsenal,,,531350.0,186250.0,,,London,Holloway,503.0,Stoke Newington,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,0,2,2,148,18,15,42,83,3,119
001114-03012018,2018-01-03,2018.0,11:07:06,11.0,Special Service,Special Service,No action (not false alarm),Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,Unknown,N22,0.0,21104794.0,E09000014,HARINGEY,Haringey,E05013605,Woodside,Woodside,,,530950.0,191550.0,,,London,Hornsey,399.0,Southgate,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,0,2,2,33,13,687,45,81,10,117
001115-03012018,2018-01-03,2018.0,11:07:14,11.0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,NW2,0.0,20200638.0,E09000005,BRENT,Brent,E05013498,Brondesbury Park,Brondesbury Park,,,524350.0,184550.0,,,London,West Hampstead,353.0,West Hampstead,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,0,2,2,149,3,79,95,96,3,128
001116-03012018,2018-01-03,2018.0,11:09:21,11.0,Special Service,Special Service,Making Safe (not RTC),Dwelling,House - single occupancy ,Correct incident location,Unknown,N17,0.0,21106164.0,E09000014,HARINGEY,Haringey,E05013596,Northumberland Park,Northumberland Park,,,534850.0,191150.0,,,London,Tottenham,492.0,Edmonton,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,0,2,2,67,13,431,88,23,8,110
001117-03012018,2018-01-03,2018.0,11:09:30,11.0,Special Service,Special Service,Making Safe (not RTC),Outdoor Structure,Railings,In street close to gazetteer location,E18 1NN,E18,100024000000.0,22302712.0,E09000026,REDBRIDGE,Redbridge,E05011252,South Woodford,South Woodford,541147.0,190196.0,541150.0,190150.0,51.59293905,0.036260477,London,Woodford,405.0,Leytonstone,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,14363.274407838362,0,2,6,151,25,539,100,55,8,33
001118-03012018,2018-01-03,2018.0,11:12:03,11.0,False Alarm,AFA,Standard,Non Residential,Infant/Primary school,Correct incident location,W14 0DT,W14,34034762.0,21000029.0,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,523705.0,179378.0,523750.0,179350.0,51.49981358,-0.21919833,London,Hammersmith,150.0,Hammersmith,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,6980.494793024076,0,0,3,73,12,8,34,34,18,242
001121-03012018,2018-01-03,2018.0,11:17:12,11.0,False Alarm,AFA,Standard,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,Unknown,EN5,0.0,20029020.0,E09000003,BARNET,Barnet,E05013647,Underhill,Underhill,,,524150.0,195450.0,,,London,Barnet,775.0,Finchley,974.0,Hornsey,3.0,3.0,3.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,149,1,618,3,29,18,71
001123-03012018,2018-01-03,2018.0,11:29:51,11.0,Special Service,Special Service,Making Safe (not RTC),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,Unknown,NW5,0.0,20400496.0,E09000007,CAMDEN,Camden,E05013664,Kentish Town South,Kentish Town South,,,528650.0,184850.0,,,London,Kentish Town,218.0,Kentish Town,269.0,Kentish Town,1.0,2.0,2.0,71.0,388.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,2,2,149,5,338,49,49,8,131
001125-03012018,2018-01-03,2018.0,11:37:44,11.0,Fire,Secondary Fire,Standard,Outdoor Structure,Small refuse/rubbish container,Correct incident location,BR1 1RN,BR1,10013149178.0,20300322.0,E09000006,BROMLEY,Bromley,E05013991,Bromley Town,Bromley Town,540287.0,169374.0,540250.0,169350.0,51.40604811,0.015580955,London,Bromley,130.0,Bromley,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,14705.510293081708,0,1,6,172,4,78,10,10,18,0
001126-03012018,2018-01-03,2018.0,11:41:12,11.0,False Alarm,AFA,Standard,Other Residential,Retirement/Old Persons Home,Correct incident location,SW16 3BT,SW16,100023000000.0,21901323.0,E09000022,LAMBETH,Lambeth,E05014112,Streatham Common & Vale,Streatham Common & Vale,530523.0,170752.0,530550.0,170750.0,51.4207614,-0.124207908,London,Norbury,209.0,Norbury,265.0,West Norwood,1.0,2.0,2.0,60.0,328.0,2.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,9689.921770564553,1,0,4,159,21,581,61,61,18,190
001128-03012018,2018-01-03,2018.0,11:44:40,11.0,False Alarm,AFA,Standard,Non Residential,Single shop ,Correct incident location,N4 1LA,N4,100023000000.0,21106543.0,E09000014,HARINGEY,Haringey,E05013590,Harringay,Harringay,531796.0,188629.0,531750.0,188650.0,51.58112176,-0.099238441,London,Tottenham,399.0,Stoke Newington,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,8273.734001405439,0,0,3,171,13,281,88,83,18,119
001129-03012018,2018-01-03,2018.0,11:44:51,11.0,Fire,Secondary Fire,Standard,Outdoor Structure,Small refuse/rubbish container,Correct incident location,KT2 5BW,KT2,128034717.0,21801069.0,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05013938,Kingston Town,Kingston Town,518252.0,169536.0,518250.0,169550.0,51.41252243,-0.301008694,London,Kingston,200.0,Kingston,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,16477.362244701755,0,1,6,172,20,350,50,50,18,95
001130-03012018,2018-01-03,2018.0,11:45:16,11.0,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,Unknown,E16,0.0,22207833.0,E09000025,NEWHAM,Newham,E05013908,Custom House,Custom House,,,541150.0,181450.0,,,London,Plaistow,243.0,East Ham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,0,2,2,33,24,167,69,22,3,31
001132-03012018,2018-01-03,2018.0,11:45:31,11.0,False Alarm,AFA,Standard,Non Residential,Single shop ,Correct incident location,W1K 3DJ,W1K,100023000000.0,8400814.0,E09000033,WESTMINSTER,Westminster,E05013808,West End,West End,528631.0,180715.0,528650.0,180750.0,51.51073075,-0.147781897,London,Soho,531.0,Soho,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,1991.847457414391,0,0,3,171,32,656,79,79,18,250
001133-03012018,2018-01-03,2018.0,11:45:54,11.0,Fire,Primary Fire,Standard,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,Unknown,CR7,0.0,20503034.0,E09000008,CROYDON,Croydon,E05011488,West Thornton,West Thornton,,,531450.0,167550.0,,,London,Norbury,997.0,Croydon,999.0,Croydon,1.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,1,2,149,7,668,61,15,18,12
001134-03012018,2018-01-03,2018.0,11:46:50,11.0,False Alarm,AFA,Standard,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,Unknown,SW16,0.0,21900859.0,E09000022,LAMBETH,Lambeth,E05014116,Streatham Wells,Streatham Wells,,,530250.0,172250.0,,,London,West Norwood,199.0,Norbury,445.0,Tooting,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,149,21,585,96,61,18,190
001135-03012018,2018-01-03,2018.0,11:48:45,11.0,False Alarm,False alarm - Malicious,Standard,Non Residential,Post office (purpose built) ,Correct incident location,SE28 0AW,SE28,10010194583.0,20801073.0,E09000011,GREENWICH,Greenwich,E05014091,West Thamesmead,West Thamesmead,546174.0,179820.0,546150.0,179850.0,51.49842583,0.104474223,London,Plumstead,292.0,Plumstead,312.0,Plumstead,1.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,15582.40988615161,1,0,3,137,10,667,70,70,18,169
001136-03012018,2018-01-03,2018.0,11:49:00,11.0,False Alarm,False alarm - Malicious,Standard,Dwelling,False Alarm - Property not found,Correct incident location,Unknown,SE18,0.0,20800707.0,E09000011,GREENWICH,Greenwich,E05014093,Woolwich Common,Woolwich Common,,,542650.0,177750.0,,,London,East Greenwich,679.0,Greenwich,751.0,East Greenwich,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,50,10,689,21,32,18,158
001137-03012018,2018-01-03,2018.0,11:51:31,11.0,Fire,Primary Fire,Standard,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,Unknown,W12,0.0,21000468.0,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,522250.0,179450.0,,,London,Hammersmith,258.0,Hammersmith,316.0,Chiswick,3.0,3.0,5.0,268.0,1465.0,14.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,1,2,148,12,652,34,34,18,240
001152-03012018,2018-01-03,2018.0,11:55:33,11.0,Special Service,Special Service,No action (not false alarm),Dwelling,House - single occupancy ,Correct incident location,Unknown,SE6,0.0,22001297.0,E09000023,LEWISHAM,Lewisham,E05013729,Perry Vale,Perry Vale,,,536850.0,172450.0,,,London,Forest Hill,233.0,Forest Hill,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,0,2,2,67,22,455,30,30,10,173
001154-03012018,2018-01-03,2018.0,11:56:27,11.0,False Alarm,False alarm - Good intent,Standard,Dwelling,Self contained Sheltered Housing ,Correct incident location,Unknown,SE26,0.0,22004480.0,E09000023,LEWISHAM,Lewisham,E05013731,Sydenham,Sydenham,,,535350.0,171350.0,,,London,Beckenham,360.0,Beckenham,536.0,Woodside,3.0,3.0,3.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,167,22,594,5,5,18,167
001155-03012018,2018-01-03,2018.0,11:58:40,11.0,False Alarm,AFA,Standard,Non Residential,Bus/coach station/garage ,Within same building,W12 8DA,W12,34032406.0,21000866.0,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,523255.0,179571.0,523250.0,179550.0,51.50164633,-0.22561067,London,Hammersmith,392.0,North Kensington,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,7400.378821513409,0,0,3,17,12,8,34,62,18,240
001159-03012018,2018-01-03,2018.0,12:15:12,12.0,False Alarm,AFA,Standard,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,Unknown,SW3,0.0,21700184.0,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009389,BROMPTON & HANS TOWN,BROMPTON & HANS TOWN,,,527350.0,179050.0,,,London,Chelsea,222.0,Chelsea,379.0,Lambeth,2.0,2.0,2.0,61.0,333.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,148,19,22,11,11,18,204
001160-03012018,2018-01-03,2018.0,12:15:56,12.0,False Alarm,AFA,Standard,Non Residential,Infant/Primary school,Correct incident location,UB3 1JA,UB3,10091100600.0,21400206.0,E09000017,HILLINGDON,Hillingdon,E05013569,Hayes Town,Hayes Town,509307.0,180322.0,509350.0,180350.0,51.51126308,-0.426246308,London,Hayes,323.0,Hayes,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,21297.3282762672,0,0,3,73,16,291,37,37,18,231
001161-03012018,2018-01-03,2018.0,12:17:39,12.0,Fire,Secondary Fire,Standard,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,SW11 3QX,SW11,10070248050.0,22903843.0,E09000032,WANDSWORTH,Wandsworth,E05014018,St. Mary's,St. Mary's,526288.0,175388.0,526250.0,175350.0,51.4633844,-0.183430426,London,Battersea,225.0,Battersea,,None,1.0,1.0,1.0,60.0,328.0,3.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,6645.787810841208,0,1,6,172,31,566,4,4,18,185
001162-03012018,2018-01-03,2018.0,12:19:53,12.0,Special Service,Special Service,Making Safe (not RTC),Outdoor Structure,Other outdoor equipment/machinery ,Correct incident location,E8 4BB,E8,100021000000.0,20900675.0,E09000012,HACKNEY,Hackney,E05009381,LONDON FIELDS,LONDON FIELDS,533632.0,184128.0,533650.0,184150.0,51.5402417,-0.074464661,London,Shoreditch,200.0,Stoke Newington,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,4770.586690751013,0,2,6,118,11,356,77,83,8,42
001163-03012018,2018-01-03,2018.0,12:20:27,12.0,False Alarm,False alarm - Good intent,Standard,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,SE1,0.0,22500290.0,E09000028,SOUTHWARK,Southwark,E05011114,St. George's,St. George's,,,531850.0,179550.0,,,London,Dowgate,232.0,Dowgate,263.0,Lambeth,3.0,4.0,4.0,81.0,443.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,149,27,554,19,19,18,149
001166-03012018,2018-01-03,2018.0,12:21:19,12.0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,EN3,0.0,20702753.0,E09000010,ENFIELD,Enfield,E05013677,Carterhatch,Carterhatch,,,535250.0,198150.0,,,London,Enfield,291.0,Enfield,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,0,2,2,149,9,114,25,25,5,69
001167-03012018,2018-01-03,2018.0,12:22:49,12.0,Fire,Primary Fire,Standard,Dwelling,House - single occupancy ,Within same building,Unknown,NW11,0.0,20015820.0,E09000003,BARNET,Barnet,E05013631,Childs Hill,Childs Hill,,,525250.0,187250.0,,,London,West Hampstead,461.0,Hendon,470.0,Hendon,1.0,2.0,2.0,94.0,514.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,1,2,67,1,130,95,39,18,127
001172-03012018,2018-01-03,2018.0,12:46:29,12.0,Special Service,Special Service,Lift Release,Dwelling,Self contained Sheltered Housing ,Correct incident location,Unknown,W3,0.0,20600480.0,E09000009,EALING,Ealing,E05013536,South Acton,South Acton,,,519950.0,180150.0,,,London,Acton,324.0,Chiswick,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,0,2,2,167,8,527,0,13,7,256
001174-03012018,2018-01-03,2018.0,12:53:41,12.0,Fire,Primary Fire,Standard,Dwelling,House - single occupancy ,Correct incident location,Unknown,HA2,0.0,21201330.0,E09000015,HARROW,Harrow,E05013554,North Harrow,North Harrow,,,513650.0,189050.0,,,London,Harrow,188.0,Harrow,389.0,Northolt,2.0,2.0,2.0,95.0,519.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,1,2,67,14,422,36,36,18,76
001176-03012018,2018-01-03,2018.0,13:01:44,13.0,Special Service,Special Service,Medical Incident,Dwelling,Bungalow - single occupancy ,Correct incident location,Unknown,TW14,0.0,21500447.0,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,,,510850.0,174050.0,,,London,Feltham,194.0,Feltham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,0,2,2,15,17,215,28,28,9,217
001177-03012018,2018-01-03,2018.0,13:03:30,13.0,Fire,Secondary Fire,Standard,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,SE1 8EE,SE1,10009790056.0,22501717.0,E09000028,SOUTHWARK,Southwark,E05011095,Borough & Bankside,Borough & Bankside,531518.0,180156.0,531550.0,180150.0,51.50504324,-0.106411858,London,Dowgate,315.0,Lambeth,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,957.5841652799586,0,1,6,172,27,60,19,51,18,149
001178-03012018,2018-01-03,2018.0,13:03:34,13.0,False Alarm,AFA,Standard,Non Residential,Police station ,Correct incident location,SW1W 9SX,SW1W,100024000000.0,8400915.0,E09000033,WESTMINSTER,Westminster,E05013797,Knightsbridge & Belgravia,Knightsbridge & Belgravia,528560.0,178585.0,528550.0,178550.0,51.49160468,-0.149580359,London,Chelsea,199.0,Lambeth,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,2761.3053082208976,0,0,3,135,32,352,11,51,18,199
001179-03012018,2018-01-03,2018.0,13:04:22,13.0,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,Unknown,E8,0.0,20900062.0,E09000012,HACKNEY,Hackney,E05009382,SHACKLEWELL,SHACKLEWELL,,,534250.0,185450.0,,,London,Homerton,275.0,Stoke Newington,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,0,2,2,148,11,503,43,83,10,42
001182-03012018,2018-01-03,2018.0,13:06:38,13.0,False Alarm,AFA,Standard,Non Residential,Infant/Primary school,Within same building,TW2 5RW,TW2,100023000000.0,22403843.0,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013787,South Twickenham,South Twickenham,514988.0,172229.0,514950.0,172250.0,51.43739749,-0.347048145,London,Twickenham,480.0,Richmond,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,17643.85862977259,0,0,3,73,26,538,89,73,18,219
001183-03012018,2018-01-03,2018.0,13:07:12,13.0,False Alarm,AFA,Standard,Dwelling,Self contained Sheltered Housing ,Correct incident location,Unknown,SE26,0.0,22004480.0,E09000023,LEWISHAM,Lewisham,E05013731,Sydenham,Sydenham,,,535350.0,171350.0,,,London,Beckenham,336.0,Beckenham,379.0,Forest Hill,3.0,3.0,3.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,167,22,594,5,5,18,167
001184-03012018,2018-01-03,2018.0,13:33:22,13.0,False Alarm,AFA,Standard,Non Residential,Secondary school,Within same building,N17 9LN,N17,10090480556.0,21106318.0,E09000014,HARINGEY,Haringey,E05013602,Tottenham Hale,Tottenham Hale,534510.0,189966.0,534550.0,189950.0,51.59249503,-0.059581493,London,Tottenham,257.0,Tottenham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,10294.24150154116,0,0,3,166,13,611,88,88,18,110
001185-03012018,2018-01-03,2018.0,13:33:38,13.0,Fire,Primary Fire,Standard,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,Unknown,N7,0.0,21603162.0,E09000019,ISLINGTON,Islington,E05013706,Holloway,Holloway,,,530750.0,185150.0,,,London,Holloway,383.0,Holloway,440.0,Islington,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,1,2,148,18,316,42,42,18,122
001187-03012018,2018-01-03,2018.0,13:42:17,13.0,False Alarm,AFA,Standard,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,Unknown,NW6,0.0,20400253.0,E09000007,CAMDEN,Camden,E05013671,West Hampstead,West Hampstead,,,525050.0,185050.0,,,London,West Hampstead,389.0,Willesden,544.0,West Hampstead,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,33,5,660,95,99,18,132
001188-03012018,2018-01-03,2018.0,13:45:10,13.0,False Alarm,False alarm - Good intent,Standard,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,NW6,0.0,20401354.0,E09000007,CAMDEN,Camden,E05013656,Fortune Green,Fortune Green,,,524750.0,184850.0,,,London,West Hampstead,170.0,Paddington,575.0,North Kensington,2.0,4.0,4.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,149,5,225,95,66,18,132
001189-03012018,2018-01-03,2018.0,13:48:04,13.0,False Alarm,AFA,Standard,Non Residential,Converted office ,Correct incident location,W5 2UA,W5,12152715.0,20600467.0,E09000009,EALING,Ealing,E05013520,Ealing Broadway,Ealing Broadway,517144.0,180661.0,517150.0,180650.0,51.51274073,-0.313250332,London,Ealing,183.0,Ealing,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,13461.7808280421,0,0,3,35,8,181,20,20,18,258
001190-03012018,2018-01-03,2018.0,13:50:35,13.0,False Alarm,AFA,Standard,Dwelling,House - single occupancy ,Correct incident location,Unknown,UB10,0.0,21402064.0,E09000017,HILLINGDON,Hillingdon,E05013573,Ickenham & South Harefield,Ickenham & South Harefield,,,507350.0,186550.0,,,London,Ruislip,356.0,Hillingdon,382.0,Hillingdon,2.0,3.0,3.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,,1,0,2,67,16,326,75,41,18,228
001191-03012018,2018-01-03,2018.0,13:53:42,13.0,False Alarm,AFA,Standard,Other Residential,Retirement/Old Persons Home,Within same building,HA3 7HD,HA3,100021000000.0,21201460.0,E09000015,HARROW,Harrow,E05013548,Harrow Weald,Harrow Weald,515803.0,190787.0,515850.0,190750.0,51.6040266,-0.329233903,London,Stanmore,333.0,Stanmore,336.0,Stanmore,1.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,2.0,3.0,1.0,1,0,0,0,0,18058.1568134832,1,0,4,159,14,283,82,82,18,77
